交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2016-05-01 00:24:24,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008332001201605015389435643,`2016050100241607829,`oJv3bwgG4PINUQjL66AENhN5tR4M,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:24:37,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4010122001201605015389438224,`2016050100242807830,`oJv3bwgby0krG_aUU5mPENLHHqCQ,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:25:08,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008602001201605015389438337,`2016050100245907833,`oJv3bwoxxTR_jre1CDaF2G8WfJHU,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:25:26,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009052001201605015389443297,`2016050100251407837,`oJv3bwkvAW6rJraCvWiS5nh_fNzI,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:26:34,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003232001201605015389452381,`2016050100262807840,`oJv3bwpQFIJe6tpRBS35GkLWR1D0,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:26:24,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005002001201605015389452856,`2016050100260607839,`oJv3bwqiA8az-Crl4iqaG5U9erxM,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:26:49,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008152001201605015389457479,`2016050100264407841,`oJv3bwpW7KlLGq3lKCD3M1QmO2OI,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:27:07,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003642001201605015389458729,`2016050100270107843,`oJv3bwh7vJvpuswM0TSHghp-NopM,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:26:59,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007002001201605015389460455,`2016050100265007842,`oJv3bwsBDHEYCLgeo9SeDq01DvFY,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:28:06,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005702001201605015389468302,`2016050100275907848,`oJv3bwreu9jjFQHsZVidxj5_4lgc,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:28:47,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008482001201605015389472872,`2016050100282607849,`oJv3bwg8zw9g7TugJ8MmE05lOx9k,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:29:20,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4001092001201605015389474575,`2016050100291207851,`oJv3bwrYvcbCmwKp0S7YJb80Kfes,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:29:44,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4002872001201605015389479541,`2016050100292807852,`oJv3bwgWTJyeVo4o8JGa283TwPq0,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:29:49,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006412001201605015389479949,`2016050100294207853,`oJv3bwrEWyOEUAW6UTg2ks-3iQNg,`JSAPI,`SUCCESS,`ABC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:31:21,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009892001201605015389493980,`2016050100311507856,`oJv3bwmHog8ayNGX18_1m_qKtmqg,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错了性别，不错爱,`paytest,`0.08000,`2.00%
`2016-05-01 00:33:11,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007492001201605015389512330,`2016050100330307862,`oJv3bws8GXeoocf5voNKqL8VOklU,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:33:34,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4001432001201605015389517889,`2016050100332907865,`oJv3bwm_4c53rEcUmD6r6tSGCxMk,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:34:02,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008432001201605015389518543,`2016050100335507867,`oJv3bwpzQhYqHorq89EsC8wCEaCo,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:34:06,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006742001201605015389518544,`2016050100335607868,`oJv3bwnSO6CkgiA7VqvZpvMbobeE,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:33:33,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005242001201605015389518838,`2016050100332607864,`oJv3bwtd905GeVEtbSPCHI1OrU9s,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:33:41,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005182001201605015389520027,`2016050100333607866,`oJv3bwka4E_qX5rw_Z0GrqXO_Lyo,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:34:29,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007762001201605015389520395,`2016050100342207871,`oJv3bwn6B4SwFnxg0uGa-xjEwPp8,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:35:17,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003212001201605015389526189,`2016050100350907876,`oJv3bwneQOKdKCVNHHRHGIPBdgEs,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:34:18,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4004472001201605015389526609,`2016050100340907869,`oJv3bwoEB1h0NG9LYX3NEtmzFVp4,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:36:55,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005762001201605015389543360,`2016050100364707878,`oJv3bwksFn6Guq-k8pfDZ0WsWPAY,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:36:53,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4000012001201605015389545874,`2016050100364607877,`oJv3bwl4hHA0KFzualIWsrxDPZBE,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:37:25,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003202001201605015389548940,`2016050100371907880,`oJv3bwmB1ckPqY1pEA5zfbOmxLB0,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:38:01,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005782001201605015389551578,`2016050100375507885,`oJv3bwr-U2rtakQlLAyShLncjvCk,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:38:06,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4004122001201605015389554682,`2016050100380007886,`oJv3bwkQMKvgWymH1z_Iki9TVkDI,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
